,Page,Members,Message,Date,Interactions,hrefs
29,anna-liisa laine,"4,135 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",4,https://twitter.com/annaliisalaine/status/1261180630563524609
30,Tom Oliver,"1,516 Followers","This is quite concerning. New data shows population (herd) immunity to COVID19 appears insufficient to avoid a second wave, therefore a vaccine is crucial. Yet, already antivaccine movement is rife on the internet trying to influence undecided groups. https://www.nature.com/articles/d41586-020-01423-4 https://t.co/0noriqixXr","May 15, 2020",4,https://twitter.com/Tom_H_Oliver/status/1261178646439571456
31,Lars-Johan Larsson,"1,429 Followers",https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",4,https://twitter.com/LarsJohanL/status/1260814742177923073
32,Mugen UJIIE (氏家 無限),"2,402 Followers","反ワクチン運動はコロナウイルスのパンデミックを終わらせるための努力を損なう可能性があると研究者が警告 反ワクチンの割合は小さいが、広範囲に及びSNS等で成長している Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",3,https://twitter.com/carpe_diem0820/status/1261419542896455682
33,Global Health Strategies,"87,969 Followers","1⃣ In this piece for @NatureNews, @philipcball unpacks a new @Nature study from @GWtweets about proliferation of anti-vaccine misinformation on Facebook and what it means for the #COVID19 response. https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",3,https://twitter.com/GHS/status/1261369809574354948
34,Michaela Maya,"2,272 Followers","Something to think about. This has the potential to become a huge issue during and after this pandemic (yes, an even bigger one than it was before already). https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",3,https://twitter.com/MiMrMa/status/1261199810687795200
35,Sindhu,267 Followers,i live in a really dumb country. https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",3,https://twitter.com/sindheshwar/status/1260993032855252992
36,dana foss,344 Followers,I can't watch horror movies because there's the constant terror of the growing anti-vaccine movement --> https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",3,https://twitter.com/dv_foss/status/1260983367589228544
37,pedro.martinez.puig,"1,783 Followers","Groups opposing #vaccines are small in size, but their online-communications strategy is worryingly effective and far-reaching: they could undermine efforts to end #COVID19 pandemic. Please help actively to educate your community with facts and emotions https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",3,https://twitter.com/Pedro_BCN_MX/status/1260938735958532096
38,د. سليمـٰن بن محمد العجل Sulai...,"8,950 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",2,https://twitter.com/Sulaiman_dk/status/1261794470389039109
39,கொல்லியம்பாவை,"4,480 Followers","Groups opposing vaccines are small in size, but their online-communications strategy is worryingly effective & far-reaching. Seriously time for the govts to curtail the Power of #WatsappUniversity misinformation in India ! 🤦🤦 https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",2,https://twitter.com/madrasmami23/status/1261710799921311747
40,Rafal Mostowy,"1,985 Followers",Studies of social networks show that opposition to vaccines is small but far-reaching — and growing. https://www.nature.com/articles/d41586-020-01423-4,"May 15, 2020",2,https://twitter.com/RafalMostowy/status/1261180228052963328
41,Ricardo González Méndez,576 Followers,"Por ahí vienen los anti-vexers con el COVID-19. Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",2,https://twitter.com/UnivDeTodos/status/1261014600465686528
42,Rüdiger Kuhnke,262 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",2,https://twitter.com/KuhnkeRuediger/status/1260999263443652618
43,EAGLEWOMAN,"2,008 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",2,https://twitter.com/EAGLEjme/status/1260907352187785218
44,mvugt,"2,245 Followers","Scary stuff: Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",2,https://twitter.com/mvugt/status/1260818265242288129
45,山形方人(nihonGO),"11,096 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",2,https://twitter.com/yamagatm3/status/1260718225370816514
46,武神,486 Followers,Anti-Vaccine Movement Could Prolong Coronavirus Pandemic ・UKで死亡例 ・マイクロチップ埋め込みを恐れる →ワクチン自粛警察活動中！ ただし、早めに打たないと効かなくなっていく可能性あり ・驚いたこと 日本でワクチンなんて単語を見ない マイクロチップありそう https://www.nature.com/articles/d41586-020-01423-4,"May 13, 2020",2,https://twitter.com/bushinbushin000/status/1260688545582202880
47,💥🚀ZippyMediaAnalytics🚀💥,724 Followers,"Researchers found that FB pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign https://www.nature.com/articles/s41586-020-2281-1?referringSource=articleShare https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",2,https://twitter.com/GLENszczypka/status/1260679937536724996
