fb_uid	label_vax	name	category	fan_count	is_unclaimed	verification_status	link	posts.data.created_time	location.city	location.street	location.country	location.longitude	location.latitude	location.located_in	location.state	location.zip	concat.geography	capture_timestamp
114069718633013	Pro Vaccination	Montgomery County Animal Shelter Texas	Animal Shelter	130238	FALSE	not_verified	https://www.facebook.com/MCASTX/	2019-09-30T11:04:25Z	Conroe	8535 Highway 242	United States	-95.44513	30.20945	NA	TX	77385	NA	2019-09-30T23:49:40Z
127576763938385	Pro Vaccination	USAID Global Health	Government Organization	173368	FALSE	blue_verified	https://www.facebook.com/USAIDGH/	2019-09-23T16:05:00Z	Washington	1300 Pennsylvania Ave NW	United States	-77.03121	38.89393	132030360215158	DC	20004	NA	2019-09-30T23:50:21Z
102263206510736	Pro Vaccination	The Panic Virus	Book	1118	FALSE	not_verified	https://www.facebook.com/thepanicvirus/	2015-01-31T19:14:34Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:51:02Z
112958532063582	Pro Vaccination	ANA Immunize	Medical Service	623	FALSE	not_verified	https://www.facebook.com/ANAimmunize/	2012-05-01T14:27:26Z	Silver Spring	8515 Georgia Ave, Ste 400	United States	-77.02664	38.99506	8210266638	MD	20910	NA	2019-09-30T23:51:43Z
134748216597458	Pro Vaccination	Confederation of Meningitis Organisations (CoMO)	Nonprofit Organization	5672	FALSE	gray_verified	https://www.facebook.com/ConfederationOfMeningitisOrganisations/	2019-09-30T12:30:00Z	Bristol	Newminster House	United Kingdom	-2.61213	51.43138	NA	NA	BS1 1LT	NA	2019-09-30T23:52:24Z
1004904989600316	Pro Vaccination	The Blood-Brain Barrier Scientist	Community	1400	FALSE	not_verified	https://www.facebook.com/bbbscientist/	2019-09-30T17:00:21Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:53:05Z
104456202975123	Pro Vaccination	Amayeza Info Centre	Medical Company	363	FALSE	not_verified	https://www.facebook.com/Amayeza-Info-Centre-104456202975123/	2019-07-10T07:11:37Z	Johannesburg	NA	South Africa	27.9158	-26.13464	NA	NA	NA	NA	2019-09-30T23:53:46Z
1081633261881912	Pro Vaccination	Projekt Imuno	Nonprofit Organization	6481	FALSE	not_verified	https://www.facebook.com/projekt.imuno/	2019-09-28T08:30:01Z	Ljubljana	Korytkova ulica 2	Slovenia	14.52281	46.0541	192228954150391	NA	NA	NA	2019-09-30T23:54:27Z
126392150899829	Pro Vaccination	CDC Travelers' Health	Government Organization	26530	FALSE	blue_verified	https://www.facebook.com/CDCTravelersHealth/	2019-09-30T21:30:09Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:55:08Z
131298156942035	Pro Vaccination	Passport Health	Medical Center	3664	FALSE	gray_verified	https://www.facebook.com/PassportHealthManhattanTravelClinic/	2019-04-17T21:01:45Z	Manhattan	1001 Avenue of the Americas 12th Floor	United States	-73.98657	40.75202	NA	NY	10018	NA	2019-09-30T23:55:49Z
