,Page,Members,Message,Date,Interactions
47,Hillary - 2016 ( We're In !!! ...,"2,014 Members","Did Clausewitz or Sun Tzu Cover This In Their Treatise? ""The researchers found that Facebook pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign, and used different messages to reach different types of undecided “voters.” A page promoting holistic health remedies might start seeding doubts about vaccines among liberal yoga moms, while a page promoting resistance to government-mandated vaccines might appeal to conservatives and libertarians.""","May 13, 2020",1
48,Citizens 4 Health Awareness,"2,829 Page Likes","Hilarious that they think information ""war"" hasnt been the norm for last decade or so. They have their heads in the sand if they don't know doctors and researchers are being censored for questioning vaccine ingredients, testing, regulation, efficacy, monitoring, and the influence of pharmaceutical and philanthropic organisations","May 14, 2020",1
49,Biyologlar Dayanışma Derneği,"17,341 Members",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",1
50,Wir brauchen den Widerstand ge...,"15,372 Members",Mal ein wichtiger Gedankenanstoß: ,"May 14, 2020",1
51,Inquiry-Driven Discussions,453 Members,"Criteria for vaccine quality can be extremely organizing, yet each vaccine has its own biochemical and demographics story. Rather than picking a side and fighting from blind ignorance, each inoculant is to be reviewed with an eye on vaccine quality. The degree of ignorance on all sides is easily proven. STOP acting like this is a court room. Lawyers take a position and rationalize it. Scientists go where the data takes them.","May 14, 2020",1
52,Moscow Mitch,347 Members,[https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?action=click&module=Well&pgtype=Homepage&section=Technology](https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?action=click&module=Well&pgtype=Homepage&section=Technology),"May 14, 2020",1
53,Cavite City Info,"3,599 Page Likes",,"May 14, 2020",1
54,Social Assurity LLC,632 Page Likes,"Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists.","May 13, 2020",0
55,Tech Insider Authority,549 Page Likes,"Get Ready for a Vaccine Information War Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. Technology","May 13, 2020",0
56,Actions and News for Liberals ...,"1,199 Members","**Today's Headlines: May 13, 2020** Health Security Headlines *Clinical Practice* [Estimating Excess 1-year Mortality Associated with the COVID-19 Pandemic According to Underlying Conditions and Age: a Population-based Cohort Study](https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30854-0/fulltext) *(The Lancet)* We estimated the excess number of deaths over 1 year under different COVID-19 incidence scenarios based on varying levels of transmission suppression and differing mortality impacts based on different relative risks for the disease. *Public & Global Health* [Coronavirus Models Are Nearing Consensus, but Reopening Could Throw Them Off Again](https://www.nytimes.com/interactive/2020/05/12/upshot/coronavirus-models.html) *(The New York Times) * There is growing consensus among modelers estimating the number of cases and deaths from the novel coronavirus in the next few weeks. But this convergence of estimates — 31,000 to 42,000 additional deaths through mid-June for roughly 120,000 total deaths in the United States — comes just as shifts in public policy are likely to create new uncertainty about the path of the pandemic after that. [As Some Countries Ease Up, Others are Reimposing Lockdowns Amid a Resurgence of Coronavirus Infections](https://www.washingtonpost.com/world/as-some-countries-ease-up-others-are-reimposing-lockdowns-amid-a-resurgence-of-coronavirus-infections/2020/05/12/6373cf6a-9455-11ea-87a3-22d324235636_story.html) *(The Washington Post)* As many parts of the world, including the United States, explore ways to ease restrictions aimed at containing the spread of the coronavirus, countries that had already opened up are closing down again after renewed spikes in infections. *Science & Technology* [Get Ready for a Vaccine Information War ](https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?action=click&module=Spotlight&pgtype=Homepage) *(The New York Times)* Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. [Artificial Intelligence Systems Aim to Sniff Out Signs of COVID-19 Outbreak ](https://www.sciencemag.org/news/2020/05/artificial-intelligence-systems-aim-sniff-out-signs-covid-19-outbreaks) *(Science)* The international alarm about the COVID-19 pandemic was sounded first not by a human, but by a computer. HealthMap, a website run by Boston Children’s Hospital, uses artificial intelligence (AI) to scan social media, news reports, internet search queries, and other information streams for signs of disease outbreaks. [Scientists: ‘Exactly Zero’ Evidence COVID-19 Came From a Lab ](https://www.cidrap.umn.edu/news-perspective/2020/05/scientists-exactly-zero-evidence-covid-19-came-lab) *(CIDRAP) * While Andersen, like other prominent virologists, says that he can't completely rule out the possibility that the virus came from a lab, the odds of that happening are very small. He says the new coronavirus clearly originated in nature, ""no question about it by now."" [Moderna’s COVID-19 Vaccine Moves to Phase 2 Testing and Gets Fast-Track Approval from the U.S. Government](https://time.com/5835785/moderna-coronavirus-vaccine-phase-2/) *(Time)* On May 12, Moderna Therapeutics, based in Cambridge, Mass., received fast-track approval from the U.S. Food and Drug Administration (FDA) for its COVID-19 vaccine candidate, mRNA-1273. Days earlier, the FDA gave the company the green light to proceed to Phase 2 testing of the vaccine, which is expected to begin shortly. [Coronavirus Drugs Trials Must Get Bigger and More Collaborative ](https://www.nature.com/articles/d41586-020-01391-9) *(Nature)* Researchers have rallied in unprecedented ways to defeat the coronavirus pandemic. They are retooling laboratories to focus on the virus; helping with testing efforts; and, in the case of clinician–researchers, working feverishly to carry out research studies while also treating patients in overwhelmed health-care systems. **Public & Global Health** [The Cost of Inaction: COVID-19 Related Service Disruptions Could Cause Hundreds of Thousands of Extra Deaths from HIV ](https://www.who.int/news-room/detail/11-05-2020-the-cost-of-inaction-covid-19-related-service-disruptions-could-cause-hundreds-of-thousands-of-extra-deaths-from-hiv) *(WHO)* A modelling group convened by the World Health Organization and UNAIDS has estimated that if efforts are not made to mitigate and overcome interruptions in health services and supplies during the COVID-19 pandemic, a six-month disruption of antiretroviral therapy could lead to more than 500 000 extra deaths from AIDS-related illnesses, including from tuberculosis, in sub-Saharan Africa in 2020–2021. **Domestic Preparedness & Response** [Gilead Sciences Donates More than 600K Vials of Remdesivir for Hospital Use](https://homelandprepnews.com/stories/48983-gilead-sciences-donates-more-than-600k-vials-of-remdesivir-for-hospital-use/) (truncated)","May 13, 2020",0
57,Coronavirus Info Northeast Ten...,837 Members,,"May 13, 2020",0
58,FU Trump,"75,075 Members",[https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?action=click&module=Well&pgtype=Homepage&section=Technology](https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?action=click&module=Well&pgtype=Homepage&section=Technology),"May 14, 2020",0
59,The Rancho Post-Gazette,"2,792 Page Likes",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",0
60,Economia in vremea COVID19,"3,231 Members",,"May 14, 2020",0
61,Crestone Buy Sell Trade,"1,638 Members",Antivaxers gearing up: **https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html**,"May 14, 2020",0
