,Page,Members,Message,Date,Interactions
57,Angry Scotland Podcast🎙,"77,858 Followers","Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",8
58,Caille Millner,"6,649 Followers","""Those of us who believe in vaccines need to realize that we may not be in the majority for long."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",8
59,Ed ☯️,"10,610 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",8
60,David P Gelles,"18,343 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",8
61,Bombshell DAILY 💣,"52,212 Followers","VACCINE WARS BEGIN Long before a known cure exists, big-pharma is tilting the field to earn your trust. #cure @CDCgov @HHSGov @fema https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",8
62,Corbin Lambeth,819 Followers,"NYTimes headline reads, ""What if we get a Covid-19 vaccine and half the country refuses to take it?"" This is what moronic #antivaxxers & denying reality / #science brings us. 🤦 https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",8
63,[ MarkSabino ],"3,843 Followers",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=nytcore-ios-share via @NYTimes,"May 13, 2020",8
64,Dr. Katy Pearce,"7,830 Followers",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",8
65,V R Shriver #ImpeachTrump 🍑,343 Followers,If we could be sure that the virus would only attack people who refuse the vaccination.... https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",8
66,Liz Ryan,"54,030 Followers",Get Ready for a Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",8
67,"Shawnté “Wear a Mask” James, M...","4,979 Followers",#Tweetiatricians STAY ready so we ain’t gotta GET ready. 💪🏾 “Get Ready for a Vaccine Information War”: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/mVOG7MXkuq https://t.co/iPdMcl3o54,"May 14, 2020",7
68,Alison Miller,"1,195 Followers","Good idea: ‘We need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents’ https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=nytcore-ios-share via @NYTimes","May 14, 2020",7
69,Alejandro Hortal,91 Followers,"NYTimes asks: what happens if we get a vaccine and half of the USA refuses to take it? Behavioral Public Policy, educational interventions, and good mandates can help with that and other vaccination hesitancy. @nytimes @BPPjournal https://nyti.ms/3fKbHXz","May 13, 2020",7
70,David Tindall,"2,809 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share @RMCarpiano @davidsmeyer1 @somardrawoh @johnmclevey,"May 13, 2020",7
71,Seana Davis,"1,702 Followers","This is really scary: even if the HUGE feat of creating a COVID vaccine is achieved at record-breaking speed, there may be millions that don’t take it due to misinformation and the anti vax movement. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/I3YoCyfulH","May 14, 2020",6
72,arianna ciccone,"65,353 Followers",Get Ready for a Covid-19 Vaccine Information War https://nyti.ms/3fKbHXz,"May 14, 2020",6
73,Peter MacLeod,"2,367 Followers","The next phase of the pandemic will require govs to stand-up major public learning and communications campaigns. Direct mail, docs, social media, proxy voices — the works. Get Ready for a Covid-19 Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",6
74,John Horgan,"13,840 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",6
75,Susan Matthews,"2,901 Followers","really don't understand the point of stories like this, and the push notification, suggesting half the country wouldn't take the vaccine, seems based on...nothing? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",6
76,"Zeina Moukarzel, MD,MPH,MHA #S...","1,759 Followers","Even before a vaccine for #COVID19, #antivax campaigns. What if people refuse to get vaccinated once it is there? #VaccinesWork #MedTwitter #healthcare via @nytimes #كورونا #coronavirus https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",6
77,Laura M. Tilghman,326 Followers,"⚠️Important read b/c 1) anti-vax folks are increasingly part of protests against stay-at-home orders 2) people are counting on a vaccine to bring things ""back to normal"" as early as spring 2021 semester Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",6
78,Adam Ratner MD MPH,"3,386 Followers",Get Ready for a #COVID19 #Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",6
79,Dr. mem_somerville | Wossamott...,"6,097 Followers","“We found a real struggle online, where the public health establishment and its supporters are almost fighting in the wrong place.” #scicomm https://nyti.ms/2Aq0ag6","May 13, 2020",6
80,Laura Rosenberger,"22,582 Followers",Impt pts from @kevinroose on need for affirmative strategy to prevent anti-COVID-vaxx disinfo from taking root. This is how democratic actors should deal w/info ops broadly - moving from reactive/defense to proactive stance rooted in truth & transparency. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",5
81,Michael Kruse,"20,595 Followers","“We found a real struggle online, where the public health establishment and its supporters are almost fighting in the wrong place.” https://nyti.ms/2YYUl3v","May 14, 2020",5
82,Matt Kiser,"12,971 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html via @CurrentStatus,"May 14, 2020",5
83,Biotech Hack,"1,125 Followers",Then let them sign a waiver that when they get COVID19 they can't go to the hospital. What if We Get a Vaccine and Half the U.S. Won’t Take It? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",5
84,Pascal Poty,"2,532 Followers",Vous avez aimé la «Saison 1 » coronavirus et #5G vous allez adorer la saison 2 avec le vaccin... ou lorsque les ignorants sont au pouvoir « Get Ready for a Vaccine Information War » https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",5
85,Stephen Walli,"3,025 Followers","Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html (Article tackles the well-trodden path of anti-vaxxers. It will become a national security problem as nation-states attempt to destabilize governments. Think Russia, NRA funding, and a Trump White House.)","May 14, 2020",5
86,spaceship,"1,104 Followers",access to vaccine and the misinformation at the hands of anti-vaxxers might be the next big problem awaiting at the end of the tunnel https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",5
