,Page,Members,Message,Date,Interactions,hrefs
89,Dr. Katy Pearce,"7,839 Followers",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",8,https://twitter.com/katypearce/status/1260637400402817024
90,V R Shriver #ImpeachTrump 🍑,344 Followers,If we could be sure that the virus would only attack people who refuse the vaccination.... https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",8,https://twitter.com/VRShriver/status/1260631279911014401
91,Liz Ryan,"53,974 Followers",Get Ready for a Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",8,https://twitter.com/humanworkplace/status/1260592508465057793
92,Dr Darren Saunders,"17,829 Followers",Get Ready for a Covid-19 Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 18, 2020",7,https://twitter.com/whereisdaz/status/1262506747069001728
93,Dr Dympna O'Sullivan,802 Followers,Get ready for a vaccine misinformation war. Social media companies need to take the threat of anti vaccine information seriously and develop resources to avert the spread of misinformation - https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html @Ethics4EU #digitalethics,"May 18, 2020",7,https://twitter.com/DympnaOSullivan/status/1262297865923198978
94,Dr.Whistleblower,546 Followers,https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/I3YoCyfulH,"May 16, 2020",7,https://twitter.com/DrWhistleblowe1/status/1261642781820362752
95,Renata Schiavo,756 Followers,"As we continue to see widespread misinformation on #Vaccines, this article is an important reminder of the need to build & nurture a strong pro-vaccine movement in preparation of a #COVID19 vaccine & protect #vulnerable & low #healthliteracy groups #equity https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 16, 2020",7,https://twitter.com/RenataSNYC/status/1261616479893684224
96,Dylan Tweney,"16,927 Followers","No reason I tweeted this now, total coincidence, why do you ask https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 15, 2020",7,https://twitter.com/dylan20/status/1261385427904106496
97,Dan Frakes,"14,861 Followers",“What if we get a Covid-19 vaccine and half the country refuses to take it?” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",7,https://twitter.com/DanFrakes/status/1261036759044861953
98,Alyssa Harlow,250 Followers,"This is a real concern. I am surprised by the number of friends/acquaintances who are swayed by plandemic and other COVID conspiracies. We must convey the importance of public health and vaccinations to those who are distrustful, without alienating them. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",7,https://twitter.com/AlyssaHarlow/status/1260963588782637060
99,arianna ciccone,"65,344 Followers",Get Ready for a Covid-19 Vaccine Information War https://nyti.ms/3fKbHXz,"May 14, 2020",7,https://twitter.com/_arianna/status/1260864863510937600
100,Peter MacLeod,"2,367 Followers","The next phase of the pandemic will require govs to stand-up major public learning and communications campaigns. Direct mail, docs, social media, proxy voices — the works. Get Ready for a Covid-19 Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",7,https://twitter.com/petermacleod/status/1260824773791227904
101,Alison Miller,"1,198 Followers","Good idea: ‘We need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents’ https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=nytcore-ios-share via @NYTimes","May 14, 2020",7,https://twitter.com/AlisonMillerPhD/status/1260772850597756928
102,Alejandro Hortal,95 Followers,"NYTimes asks: what happens if we get a vaccine and half of the USA refuses to take it? Behavioral Public Policy, educational interventions, and good mandates can help with that and other vaccination hesitancy. @nytimes @BPPjournal https://nyti.ms/3fKbHXz","May 13, 2020",7,https://twitter.com/lexhortal/status/1260708552466931715
103,Adam Ratner MD MPH,"3,388 Followers",Get Ready for a #COVID19 #Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",7,https://twitter.com/gramstain/status/1260617346139533312
104,David Tindall,"2,809 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share @RMCarpiano @davidsmeyer1 @somardrawoh @johnmclevey,"May 13, 2020",7,https://twitter.com/dbtindall/status/1260592604917334022
105,Jamie,"1,736 Followers",Judea Declares War on Anti-Vaxxers. Stanley Plotkin is the “godfather” of ALL modern vaccines and a Jew from Brooklyn. 🕍 https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 18, 2020",6,https://twitter.com/Jamie83107302/status/1262502711196635138
106,Liberteur,"2,311 Followers","In a shocking development, the NYT demonizes the anti-mandatory-vaccine movement, asking with abject horror, “what if people refuse the vaccine?” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",6,https://twitter.com/Liberteur/status/1261067928276881408
107,BH,"1,123 Followers",Then let them sign a waiver that when they get COVID19 they can't go to the hospital. What if We Get a Vaccine and Half the U.S. Won’t Take It? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",6,https://twitter.com/biotechhack/status/1260869160495730688
108,John Horgan,"13,848 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",6,https://twitter.com/Drjohnhorgan/status/1260722594946351109
109,Susan Matthews,"2,908 Followers","really don't understand the point of stories like this, and the push notification, suggesting half the country wouldn't take the vaccine, seems based on...nothing? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",6,https://twitter.com/susanematthews/status/1260674380784373761
